date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:39	87982/87982	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/1.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/1.jpg	(from http://mikekus.com/about/)
11:00:43	84279/84279	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/2.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/2.jpg	(from http://mikekus.com/about/)
11:00:46	85685/85685	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/4.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/4.jpg	(from http://mikekus.com/about/)
11:00:49	117049/117049	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/3.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/3.jpg	(from http://mikekus.com/about/)
11:00:51	78431/78431	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/5.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/5.jpg	(from http://mikekus.com/about/)
11:01:00	60415/60415	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/8.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/8.jpg	(from http://mikekus.com/about/)
11:01:03	70924/70924	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/9.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/9.jpg	(from http://mikekus.com/about/)
11:01:04	131087/131087	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/6.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/6.jpg	(from http://mikekus.com/about/)
11:01:06	130656/130656	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/7.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/7.jpg	(from http://mikekus.com/about/)
11:01:18	91292/91292	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/11.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/11.jpg	(from http://mikekus.com/about/)
11:01:20	128490/128490	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/10.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/10.jpg	(from http://mikekus.com/about/)
11:01:25	128872/128872	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/instagram/12.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram/12.jpg	(from http://mikekus.com/about/)
11:02:01	267811/267811	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/beliyf/1.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/beliyf/1.jpg	(from http://mikekus.com/portfolio/beliyf/)
11:02:14	332748/332748	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/beliyf/2.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/beliyf/2.jpg	(from http://mikekus.com/portfolio/beliyf/)
11:02:24	366183/366183	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/beliyf/3.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/beliyf/3.jpg	(from http://mikekus.com/portfolio/beliyf/)
11:03:18	475038/475038	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/beliyf/4.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/beliyf/4.jpg	(from http://mikekus.com/portfolio/beliyf/)
11:03:56	1058712/1058712	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/beliyf/1.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/beliyf/1.png	(from http://mikekus.com/portfolio/beliyf/)
11:04:00	256372/256372	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/3.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/3.jpg	(from http://mikekus.com/portfolio/invision/)
11:04:11	728202/728202	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/home.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/home.jpg	(from http://mikekus.com/portfolio/invision/)
11:04:22	733021/733021	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/2.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/2.jpg	(from http://mikekus.com/portfolio/invision/)
11:04:39	269828/269828	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/4.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/4.jpg	(from http://mikekus.com/portfolio/invision/)
11:04:41	253181/253181	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/5.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/5.jpg	(from http://mikekus.com/portfolio/invision/)
11:04:53	258358/258358	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/6.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/6.jpg	(from http://mikekus.com/portfolio/invision/)
11:04:59	117369/117369	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/future-insights-2015/home.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/future-insights-2015/home.png	(from http://mikekus.com/portfolio/future-insights-2015/)
11:05:08	87678/87678	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/future-insights-2015/2.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/future-insights-2015/2.jpg	(from http://mikekus.com/portfolio/future-insights-2015/)
11:05:29	295351/295351	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/future-insights-2015/1.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/future-insights-2015/1.jpg	(from http://mikekus.com/portfolio/future-insights-2015/)
11:05:39	253302/253302	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/future-insights-2015/3.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/future-insights-2015/3.jpg	(from http://mikekus.com/portfolio/future-insights-2015/)
11:06:09	670418/670418	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/invision/7.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/invision/7.jpg	(from http://mikekus.com/portfolio/invision/)
11:06:24	342800/342800	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/2.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/2.jpg	(from http://mikekus.com/portfolio/stamps/)
11:06:39	366749/366749	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/3.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/3.jpg	(from http://mikekus.com/portfolio/stamps/)
11:07:10	373044/373044	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/4.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/4.jpg	(from http://mikekus.com/portfolio/stamps/)
11:07:10	189245/189245	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/6.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/6.jpg	(from http://mikekus.com/portfolio/stamps/)
11:07:12	6443/6443	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/2.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/2.png	(from http://mikekus.com/portfolio/craftsmen/)
11:07:14	21912/21912	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/1.gif	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/1.gif	(from http://mikekus.com/portfolio/craftsmen/)
11:07:17	27868/27868	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/3.gif	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/3.gif	(from http://mikekus.com/portfolio/craftsmen/)
11:07:18	26515/26515	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/4.gif	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/4.gif	(from http://mikekus.com/portfolio/craftsmen/)
11:07:19	344567/344567	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/5.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/5.jpg	(from http://mikekus.com/portfolio/stamps/)
11:07:24	858863/858863	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/1.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/1.png	(from http://mikekus.com/portfolio/stamps/)
11:07:30	30916/30916	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/mixd/1.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/mixd/1.png	(from http://mikekus.com/portfolio/mixd/)
11:07:31	74929/74929	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/7.gif	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/7.gif	(from http://mikekus.com/portfolio/craftsmen/)
11:07:33	13165/13165	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/mixd/2.gif	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/mixd/2.gif	(from http://mikekus.com/portfolio/mixd/)
11:07:33	94682/94682	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/6.gif	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/6.gif	(from http://mikekus.com/portfolio/craftsmen/)
11:07:47	92943/92943	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/mixd/3.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/mixd/3.jpg	(from http://mikekus.com/portfolio/mixd/)
11:07:48	93580/93580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/mixd/4.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/mixd/4.jpg	(from http://mikekus.com/portfolio/mixd/)
11:07:50	214924/214924	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/craftsmen/5.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/craftsmen/5.jpg	(from http://mikekus.com/portfolio/craftsmen/)
